qid,structural,semantic,program_depth,question,gt_answer,blip_answer,mismatch_label,vilt_answer,vilt_correct
00126902,choose,attr,2,Is the sand light brown or red?,light brown,brown,blip_subset,brown,False
13539044,choose,attr,2,"What material is the floor, hardwood or stone?",hardwood,wood,blip_subset,wood,False
08544130,choose,attr,2,Is the floor blue or dark brown?,dark brown,brown,blip_subset,brown,False
13949891,choose,attr,3,Is the chair to the right of the other chair wooden or metallic?,metallic,metal,blip_subset,wood,False
10423051,choose,attr,3,Is the water next to the mountain dark blue or brown?,dark blue,dark,blip_subset,blue,False
08255416,choose,attr,2,Is the shirt long sleeved or short sleeved?,long sleeved,long sleeve,blip_subset,long,False
01393377,choose,attr,3,"Which color is the sheep on the field, light brown or black?",light brown,brown,blip_subset,brown,False
13877284,choose,attr,2,Is the floor made of hardwood or brick?,hardwood,wood,blip_subset,hardwood,True
08931017,choose,attr,2,"What was used to make the floor, marble or hardwood?",hardwood,wood,blip_subset,wood,False
02220286,choose,attr,2,Is the bench wooden or metallic?,wooden,wood,blip_subset,wood,False
1241868,choose,attr,2,Do the bananas look ripe or unripe?,unripe,ripe,blip_subset,ripe,False
13862685,choose,attr,2,"How does the bridge look like, metallic or wooden?",wooden,wood,blip_subset,wood,False
09392443,choose,attr,2,Does the shirt look sleeveless or long sleeved?,long sleeved,long,blip_subset,long,False
0353424,choose,attr,2,Is the bench metallic or wooden?,wooden,wood,blip_subset,wood,False
17552221,choose,attr,3,Is the chair to the left of the clock metallic or wooden?,wooden,wood,blip_subset,wood,False
01768340,choose,attr,2,Does the shirt look long sleeved or short sleeved?,short sleeved,short,blip_subset,short,False
09847353,choose,attr,2,Does the table look wooden or metallic?,wooden,wood,blip_subset,wood,False
14303429,choose,attr,2,Is the fence wooden or metallic?,metallic,metal,blip_subset,metal,False
01162911,choose,attr,2,Is the fence wooden or metallic?,metallic,metal,blip_subset,metal,False
05175003,choose,attr,2,Is the floor wooden or metallic?,wooden,wood,blip_subset,wood,False
19164610,choose,attr,2,Is the shirt sleeveless or long sleeved?,long sleeved,long sleeve,blip_subset,long,False
08169716,choose,attr,2,"What color is the sky, light blue or orange?",light blue,blue,blip_subset,blue,False
17397368,choose,attr,3,"What color is the desk that is to the right of the bed spread, dark brown or green?",dark brown,brown,blip_subset,brown,False
04194590,choose,attr,3,Does the cotton shirt look long sleeved or short sleeved?,short sleeved,short,blip_subset,short,False
15702426,choose,attr,3,Is the small dirt dark brown or light brown?,light brown,light,blip_subset,brown,False
0820275,choose,attr,3,"How does the fence in front of the elephant look like, metallic or wooden?",metallic,metal,blip_subset,metal,False
14834380,choose,attr,2,Is the shirt short sleeved or sleeveless?,short sleeved,short sleeve,blip_subset,short,False
00107273,choose,attr,2,Is the door wooden or metallic?,metallic,metal,blip_subset,metal,False
05889068,choose,attr,2,Is this table metallic or wooden?,metallic,metal,blip_subset,metal,False
17467439,choose,attr,2,Does that chair look wooden or metallic?,wooden,wood,blip_subset,wood,False
00792972,choose,attr,3,Is the man to the right of the other man male or female?,female,male,blip_subset,male,False
17967169,choose,attr,2,Is the uniform long sleeved or short sleeved?,short sleeved,short,blip_subset,short,False
03450789,choose,attr,2,Is the beard dark brown or white?,dark brown,dark,blip_subset,black,False
