structural,program_depth,n,blip_acc,vilt_acc,gap
query,2,14821,0.5015,0.4777,0.0238
query,3,42149,0.444,0.4239,0.0201
query,4,10891,0.387,0.3655,0.0215
query,5,306,0.3954,0.3137,0.0817
verify,2,12905,0.7321,0.7078,0.0243
verify,3,9559,0.7211,0.6777,0.0434
verify,4,4805,0.6976,0.6587,0.0389
verify,5,144,0.6319,0.625,0.0069
logical,4,1913,0.7423,0.6999,0.0423
logical,5,10585,0.6041,0.5572,0.0469
logical,6,85,0.4588,0.4941,-0.0353
logical,7,3506,0.3066,0.348,-0.0414
logical,8,6,0.6667,0.3333,0.3333
logical,9,1,0.0,0.0,0.0
choose,2,8548,0.6657,0.5806,0.085
choose,3,7414,0.5603,0.5057,0.0546
choose,4,266,0.6391,0.5902,0.0489
choose,5,1,1.0,1.0,0.0
compare,2,469,0.6418,0.5821,0.0597
compare,3,3688,0.4661,0.4756,-0.0095
overall,2,36743,0.6225,0.5838,0.0387
overall,3,62810,0.5012,0.4752,0.026
overall,4,17875,0.5123,0.4835,0.0288
overall,5,11036,0.5987,0.5514,0.0473
overall,6,85,0.4588,0.4941,-0.0353
overall,7,3506,0.3066,0.348,-0.0414
overall,8,6,0.6667,0.3333,0.3333
overall,9,1,0.0,0.0,0.0
